[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
115495 queries in the dataset
5732 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 10
model_type: transmixer_mask
w: 5
pool: avg_pool
max_masked: 9
special_mask: False
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

115495 queries in the dataset
5732 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20240105_0136
Number of model parameters: 5255168
load initial weights!
Epoch[1-333]	loss: 0.0035	total loss: 0.0035
Epoch[1-334]	loss: 0.0043	total loss: 0.0043
Epoch[1-335]	loss: 0.0044	total loss: 0.0044
Epoch[1-336]	loss: 0.0098	total loss: 0.0098
Epoch[1-337]	loss: 0.0154	total loss: 0.0154
Epoch[1-338]	loss: 0.0051	total loss: 0.0051
Epoch[1-339]	loss: 0.0044	total loss: 0.0044
Epoch[1-340]	loss: 0.0044	total loss: 0.0044
Epoch[1-341]	loss: 0.0108	total loss: 0.0108
Epoch[1-342]	loss: 0.0085	total loss: 0.0085
Epoch[1-343]	loss: 0.0080	total loss: 0.0080
Epoch[1-344]	loss: 0.0025	total loss: 0.0025
Epoch[1-345]	loss: 0.0055	total loss: 0.0055
Epoch[1-346]	loss: 0.0089	total loss: 0.0089
Epoch[1-347]	loss: 0.0104	total loss: 0.0104
Epoch[1-348]	loss: 0.0038	total loss: 0.0038
Epoch[1-349]	loss: 0.0028	total loss: 0.0028
Epoch[1-350]	loss: 0.0044	total loss: 0.0044
Epoch[1-351]	loss: 0.0039	total loss: 0.0039
Epoch[1-352]	loss: 0.0030	total loss: 0.0030
Epoch[1-353]	loss: 0.0045	total loss: 0.0045
Epoch[1-354]	loss: 0.0039	total loss: 0.0039
Epoch[1-355]	loss: 0.0044	total loss: 0.0044
Epoch[1-356]	loss: 0.0031	total loss: 0.0031
Epoch[1-357]	loss: 0.0098	total loss: 0.0098
Epoch[1-358]	loss: 0.0049	total loss: 0.0049
Epoch[1-359]	loss: 0.0146	total loss: 0.0146
Epoch[1-360]	loss: 0.0029	total loss: 0.0029
Epoch[1-361]	loss: 0.0038	total loss: 0.0038
Epoch[1-362]	loss: 0.0062	total loss: 0.0062
Epoch[1-363]	loss: 0.0093	total loss: 0.0093
Epoch[1-364]	loss: 0.0088	total loss: 0.0088
Epoch[1-365]	loss: 0.0165	total loss: 0.0165
Epoch[1-366]	loss: 0.0036	total loss: 0.0036
Epoch[1-367]	loss: 0.0081	total loss: 0.0081
Epoch[1-368]	loss: 0.0052	total loss: 0.0052
Epoch[1-369]	loss: 0.0115	total loss: 0.0115
Epoch[1-370]	loss: 0.0025	total loss: 0.0025
Epoch[1-371]	loss: 0.0156	total loss: 0.0156
Epoch[1-372]	loss: 0.0039	total loss: 0.0039
Epoch[1-373]	loss: 0.0082	total loss: 0.0082
Epoch[1-374]	loss: 0.0086	total loss: 0.0086
